userId,Total_Accepted_Answers,score,posts,Reputation,Age,UpVotes,DownVotes,Location,views
22,2,38,4,573,,903,6,"Berne, Switzerland",185
108,1,5,1,345,34,4,0,Ireland,192
172,2,34,2,862,34,17,0,"Berkeley, CA",136
743,1,6,1,255,42,100,0,"Pleasant Hill, CA",16
994,1,1,1,433,35,10,1,,81
1007,1,27,1,534,,8,0,California,323
1443,2,26,5,850,,154,0,,110
1643,1,6,1,1122,,201,0,,204
1894,1,10,1,314,27,5,0,Canada,48
1929,1,6,1,153,40,3,0,"Atlanta, GA",13
1994,1,13,2,201,,1,0,,60
2380,1,3,1,118,,1,0,,3
2479,0,39,1,296,,0,0,,2
2665,1,15,1,319,32,10,0,"Baltimore, MD",51
2680,0,3,1,16,49,1,0,"Medellin, Colombia",1
2816,1,3,1,47,,4,0,,14
2980,1,4,1,123,38,14,0,"Gent, België",6
3330,0,3,1,536,35,24,1,"Riga, Republic of Latvia",23
3451,1,5,1,28,,4,0,,2
3501,1,2,1,159,,13,0,,28
3551,1,6,1,143,,18,0,,1
4001,0,1,1,134,30,37,0,"Istanbul, Turkey",25
4701,3,43,10,528,,12,0,,124
4751,2,6,2,374,,105,0,,136
4837,0,3,1,46,,0,0,,3
5102,0,3,1,16,,0,0,,0
5137,1,32,7,201,,0,0,,28
5388,0,4,1,21,,0,0,,3
5438,0,1,1,36,,0,0,,1
5588,1,8,1,131,,4,0,,13
5687,1,2,1,113,31,4,0,,5
5837,7,28,8,974,,28,0,,105
5923,1,4,1,123,35,10,0,"Budapest, Hungary",12
6724,0,2,1,21,,0,0,,7
7359,1,2,1,13,,0,0,,3
7559,0,5,1,26,,0,0,,2
7645,0,-3,1,1,,0,0,,5
7795,3,13,3,1285,,207,0,,316
7895,0,4,1,21,26,2,0,,8
8196,1,12,2,775,,308,0,,118
8396,0,1,1,6,,0,0,,0
8431,1,3,1,194,,2,0,,8
8595,2,12,3,194,,10,0,,14
8695,0,2,1,11,,0,0,,2
8982,0,5,1,61,,1,0,,7
9231,0,1,1,21,,0,0,,3
9281,0,2,1,124,,1,0,,32
9367,0,0,1,1,,0,0,,2
9517,0,2,1,11,,0,0,,2
9618,1,12,1,297,,19,0,,12
9818,0,1,1,143,36,16,0,Mexico,5
9882,1,4,1,26,,0,0,,3
9918,1,12,1,193,,7,0,,22
10017,5,43,6,671,,60,2,,127
10718,0,0,1,1,,0,0,,5
11253,0,0,1,37,,0,0,,14
11289,1,1,1,13,,0,0,,112
11604,0,1,1,6,,0,0,,4
11639,1,5,1,2126,27,31,0,,376
11754,0,2,1,11,,0,0,,2
11804,0,0,1,101,,0,0,"Brussels, Belgium",1
11889,1,0,1,92,,1,0,,30
12090,1,0,1,57,,1,0,,29
12275,0,4,1,119,,0,0,,10
12339,1,14,2,222,29,14,0,"Brisbane, Queensland, Australia",26
12375,0,0,1,123,,10,0,,1
12439,0,9,1,46,,3,0,,1
12490,2,7,2,57,,4,0,United Kingdom,28
12539,0,5,2,26,,0,0,,5
12540,2,15,2,525,,21,2,Italy,73
12626,7,12,13,315,,19,2,,65
12690,1,3,1,117,,5,0,,18
12726,0,-1,1,1,,0,0,,9
13075,0,18,1,331,,1,0,,24
13076,2,-1,2,5,,0,0,"Hanover, Germany",23
13411,0,3,1,16,,0,0,,2
13475,0,9,1,46,,0,0,,3
13525,2,18,3,424,,18,0,,64
13526,3,12,3,355,,89,2,"London, United Kingdom",16
13561,2,31,2,834,,20,1,Vienna,289
13762,0,0,1,1,,0,0,,1
14247,1,3,1,45,,7,0,,0
14447,1,15,2,78,,1,0,"Leiden, Netherlands",9
14848,0,0,1,6,,0,0,,3
16083,1,1,1,108,,5,0,"Mainz, Germany",1
16269,0,0,1,28,,0,0,,10
16534,0,5,1,98,,27,0,,128
17105,2,3,2,25,,2,0,,3
196,16,250,20,8035,,544,117,,975
221,1,23,2,980,,107,0,Spain,362
226,2,6,2,1909,,58,0,,361
1021,1,2,1,233,,73,0,,11
1834,1,3,1,221,47,34,0,"Brisbane, Australia",37
1991,3,34,3,1208,,69,1,,225
2425,0,0,1,1849,33,54,3,"London, United Kingdom",383
2536,0,3,1,16,,1,0,,6
2566,1,5,3,172,,7,0,Los Angeles,35
2659,0,3,1,80,,5,0,,11
2693,0,4,1,183,31,2,0,"Rochester, NY",6
2770,1,12,1,163,47,41,0,"Minneapolis, MN",37
2795,2,14,2,205,27,123,1,"Berlin, Germany",46
2961,0,7,1,168,,3,0,"Kilifi, Kenya",14
3025,4,15,5,286,32,31,0,"Durham, NC",30
3263,1,4,1,135,,112,0,"Hamden, CT",6
3561,2,5,2,130,28,2,0,"New York, NY",12
3727,0,9,1,68,,2,0,,5
3795,0,4,1,21,,0,0,,0
3897,0,0,1,167,,7,0,,28
4038,0,8,1,41,,0,0,,3
4195,1,5,1,128,,2,0,Delaware,3
4204,2,5,2,30,,5,0,,8
4238,3,13,3,448,,22,0,,42
4263,2,8,6,97,,0,0,,26
4340,0,8,2,144,32,0,0,Switzerland,18
4472,0,3,1,16,,0,0,,2
5174,0,0,1,31,,2,0,"Edinburgh, United Kingdom",1
5335,0,1,1,54,,0,0,,8
5442,0,3,1,10,,0,0,,3
5501,0,8,1,148,,9,0,,27
5676,0,2,1,87,,3,0,,26
5944,0,0,1,101,,0,0,Australia,0
6003,1,3,1,340,,7,0,,25
6369,0,7,1,555,,120,7,Thailand,146
6412,1,1,1,211,,18,0,"Liverpool, United Kingdom",36
7037,0,2,1,91,30,6,0,"Vancouver, Canada",21
7339,2,1,2,570,27,26,0,"Copenhagen, Denmark",123
7616,6,14,7,1523,32,105,6,"Seattle, Washington",489
7884,1,3,2,34,,2,0,,8
7914,0,2,1,11,,0,0,,1
8109,4,7,6,170,,3,0,,84
8143,0,4,1,31,,0,0,,4
8173,2,4,4,30,,0,0,,7
8207,1,50,1,2076,,66,0,,147
8373,1,3,1,8133,28,112,11,"New York, NY, United States",1965
8709,1,8,1,143,29,2,0,,22
9177,0,1,1,325,,9,0,,68
9254,3,4,3,42,27,3,0,"Seattle, WA",8
9454,0,2,1,11,,0,0,,2
9543,0,8,1,41,,0,0,,5
9577,1,2,1,451,,7,0,,40
9722,2,15,3,80,,6,0,,14
9811,1,13,1,125,,5,0,,32
9888,0,-3,1,13,,0,0,,6
10054,1,2,1,208,,21,0,"Boston, MA",37
10088,3,5,4,102,,20,0,,11
10488,4,17,4,116,31,4,0,,17
